84868149,Kinaesthetics,
84866066,Kinesiology,
84867238,Knowledge engineering,
84867241,Knowledge-based engineering,
84868218,Laboratory informatics,
85171319,Laboratory robotics,
84866712,Land development engineering,
84864047,Landscape ecology,
84865954,Langevin dynamics,
84868233,Laser medicine,
84865075,Laser science,
84866596,Lean software development,
84868325,Legal informatics,
84868191,Lifestyle medicine,
84864754,Lipidology,
85170295,Lipidomics,
84868361,Liquid logistics,
85170301,Live cell imaging,
85170302,Live single-cell imaging,
84866668,Logic in computer science,
84869041,Logistics,
84865892,Lorentz-violating electrodynamics,
84865284,Loudspeaker acoustics,
84865779,Lumped damage mechanics,
84864197,Lunar seismology,
84866715,Macro-engineering,
84866464,Macroecology,
84868556,Macroelectronics,
84864636,Magnetobiology,
84866656,Maintenance engineering,
84867436,Malnutrition,
84867346,Management cybernetics,
84866530,Managerial epidemiology,
84868933,Manufacturing,
84867109,Manufacturing engineering,
84866162,Mariculture,
84867145,Marine electronics,
84867142,Marine engineering,
84867633,Mass gathering medicine,
84864967,Materials informatics,
84864970,Materials physics,
84864955,Materials science,
84867859,Maternal-fetal medicine,
84866443,Mathematical physiology,
84867148,Mechanical engineering,
84865901,Mechanics,
84866718,Mechanobiology,
84867157,Mechatronics,
85170314,Med-peds,
84867600,Medical biology,
84867358,Medical cybernetics,
84867700,Medical genetics,
84868364,Medical logistics,
84867946,Medical microbiology,
84865829,Medical physics,
84867305,Medical privacy,
84875567,Medical research,
84868807,Medical robotics,
85170325,Medical simulation,
85170336,Medical social work,
84864844,Medical statistics,
84864796,Medicinal chemistry,
84867561,Medicine,
84869038,Megascale engineering,
84867250,Meronomy,
84866775,Metabolic engineering,
84863936,Meteorology,
84866611,Method engineering,
84867112,Methods engineering,
84868469,Metrology,
84866903,Micro process engineering,
84865461,Microbotics,
84868559,Microelectronics,
84865547,Micromeritics,
84864233,Micropaleontology,
84863975,Microscale meteorology,
84867537,Microsurgical endodontics,
84867052,Microwave engineering,
85170288,Midwifery,
84867172,Military engineering,
84868185,Minimally disruptive medicine,
84867175,Mining engineering,
84867178,Mining machinery engineering,
84866108,Mobile agriculture,
84867415,Mobile device forensics,
84868771,Mobile telephony,
84866644,Mobile web analytics,
84867220,Model-driven engineering,
84865811,Modern physics,
84866841,Molecular engineering,
84864871,Molecular epidemiology,
84864859,Molecular genetics,
84864799,Molecular oncology,
84866533,Molecular pathological epidemiology,
84867967,Molecular pathology,
84865045,Molecular scale electronics,
84868056,Molecular virology,
84868732,Monoclonal antibody,
84867007,Morphogenetic robotics,
84867790,Mucosal immunology,
84865883,Multiphysics,
84865287,Musical acoustics,
84865009,Nanobiomechanics,
84865012,Nanobiotechnology,
84865051,Nanoelectronics,
84866844,Nanoengineering,
84865057,Nanoionics,
84874611,Nanolithography,
84874948,Nanomaterials research,
84866850,Nanomedicine,
84865018,Nanometrology,
84866853,Nanonephrology,
85170296,Nanoneuronics,
84865024,Nanothermometry,
84865027,Nanotribology,
85170326,Narrative medicine,
84868981,Navigation,
85170321,Near-death studies,
84868095,Neonatal nursing,
84868092,Neonatology,
84867814,Nephrology,
84867349,Network science,
84866796,Neural engineering,
84866778,Neural tissue engineering,
84866781,Neurobioengineering,
84867612,Neurocardiology,
84866536,Neuroepidemiology,
84867376,Neuroergonomics,
84867793,Neuroimmunology,
84866329,Neuroinformatics,
84867829,Neurology,
84867055,Neuromorphic engineering,
84868119,Neuromuscular medicine,
84868110,Neurophysiology,
84866557,Neuroprosthetics,
84864904,Neuroproteomics,
84864654,Neuroradiology,
84867010,Neurorobotics,
84867487,Neurotology,
84867223,New product development,
84865920,Newtonian dynamics,
84865957,Non-autonomous mechanics,
84865592,Nonimaging optics,
84868562,Nuclear electronics,
84867160,Nuclear engineering,
84867163,Nuclear medicine,
84864700,Nuclear reactor physics,
84866793,Nucleic acid thermodynamics,
84868268,Nursing,
85170328,Nursing ethics,
84867385,Nutrigenomics,
84866069,Nutrition,
84866374,Nutritional genomics,
84867796,Nutritional immunology,
84867576,Obesity medicine,
84867862,Obstetric medicine,
84867865,Obstetrical nursing,
84867856,Obstetrics,
84867745,Obstetrics and gynaecology,
85170315,Occupational medicine,
84866165,Octopus aquaculture,
84867391,Oenology,
84866168,Offshore aquaculture,
84866888,Offshore geotechnical engineering,
84866111,Olericulture,
84866332,Omics,
84868726,Oncogenomics,
84867733,Oncology,
84867874,Oncology nursing,
84867820,Onconephrology,
84866721,Online engineering,
84867247,Ontology engineering,
84866805,Open synthetic biology,
84867970,Ophthalmic pathology,
84867880,Ophthalmology,
84868484,Optical engineering,
84865595,Optoelectronics,
84866560,Optogenetics,
84865601,Optomechanics,
84867949,Oral and maxillofacial pathology,
85170312,Oral medicine,
84868018,Oral microbiology,
84866820,Oral mucosa tissue engineering,
84867850,Oral sedation dentistry,
84866171,Organic aquaculture,
84868588,Organic electronics,
84866239,Organic horticulture,
84864946,Organocerium chemistry,
84867543,Orthodontic mechanics,
84867540,Orthodontics,
85170319,Orthomolecular medicine,
84868170,Orthopaedic sports medicine,
84866802,Orthotics,
84867799,Osteoimmunology,
84867484,Otology,
84866724,Overengineering,
84867439,Overnutrition,
84867115,Packaging engineering,
84864657,Paediatric radiology,
84867913,Palliative care,
84867193,Paper engineering,
84868071,Parasitology,
84864931,Particle technology,
84866473,Patch dynamics,
84865183,Path integral molecular dynamics,
84866377,Pathogenomics,
84867919,Pathology,
84868083,Pathophysiology,
84867133,Pavement engineering,
84867546,Pediatric dentistry,
84867636,Pediatric emergency medicine,
84867666,Pediatric endocrinology,
84867678,Pediatric gastroenterology,
84868089,Pediatric nursing,
84867889,Pediatric ophthalmology,
84867973,Pediatric pathology,
84868179,Pediatric urology,
85166894,Pediatrics,
84868086,Pediatrics,
84864380,Pedometrics,
84867013,Perceptual robotics,
84867748,Perineology,
84867549,Periodontology,
84866215,Permaculture,
84866380,Personal genomics,
85170297,Personalized medicine,
84868355,Pervasive informatics,
84868248,Pet orthotics,
84867082,Petroleum engineering,
84867085,Petroleum production engineering,
84865832,Petrophysics,
85170272,Pharmaceutical bioinformatics,
85170291,Pharmaceutical engineering,
85170292,Pharmaceutical medicine,
85170293,Pharmacoeconomics,
85170331,Pharmacognosy,
84864814,Pharmacology,
85170333,Pharmacy research,
84866341,Phenomics,
85170298,Phosphoproteomics,
84864512,Photochemistry,
84865681,Photoelectrochemistry,
84868236,Photomedicine,
84865186,Photovoltaics,
84868140,Phthisiology,
84866398,Phylogenetics,
84864518,Phytochemistry,
85170299,Phytotechnology,
85170280,Placebo studies,
84867181,Planetary engineering,
84866114,Plasticulture,
84865730,Plate tectonics,
84865733,Plume tectonics,
84865144,Pneumatics,
84866209,Polyculture,
84866727,Polymer engineering,
84866383,Population genomics,
84865251,Poromechanics,
84868367,Port centric logistics,
84868574,Power electronics,
84867094,Power engineering,
84867639,Pre-hospital emergency medicine,
84867154,Precision engineering,
84866730,Precision mechanics,
84866386,Predictive genomics,
84866512,Predictive informatics,
85166893,Primary care medicine,
84867268,Privacy engineering,
84867190,Process engineering,
84867070,Product engineering,
84867118,Production engineering,
84868978,Project management,
84869089,Propulsion engineering,
84867555,Prosthodontics,
84866784,Protein engineering,
84864575,Proteogenomics,
84864892,Proteomics,
84868131,Psychiatric and mental health nursing,
84868098,Psychiatry,
85170316,Psychosomatic medicine,
84863981,Psychrometrics,
84867976,Pulmonary pathology,
84868134,Pulmonology,
85170332,Quantitative systems pharmacology,
84865180,Quantum electrochemistry,
84875594,Quantum mechanics,
84866001,Quantum statistical mechanics,
84865233,Quantum technology,
84865785,Quantum thermodynamics,
84864958,Radiation material science,
84867058,Radio-frequency engineering,
84864642,Radiology,
84864639,Radiopharmacology,
84867136,Railway engineering,
84866120,Rainfed agriculture,
84865657,Receptor-ligand kinetics,
84866242,Reconciliation ecology,
84866126,Regenerative agriculture,
84868152,Rehabilitation engineering,
84867034,Rehabilitation robotics,
84865195,Relational quantum mechanics,
84866653,Reliability engineering,
84867979,Renal pathology,
84867754,Reproductive endocrinology and infertility,
84867802,Reproductive immunology,
85166897,Reproductive medicine,
84867229,Requirements engineering,
84867088,Reservoir engineering,
84868143,Respiration (physiology),
84866476,Restoration ecology,
84867847,Restorative neurology,
84868155,Rheumatology,
84866933,River engineering,
84865969,Robot kinematics,
84866969,Robotics,
84865296,Room acoustics,
84865387,Rotordynamics,
84866569,Round-trip engineering,
84865960,Routhian mechanics,
84866659,Safety engineering,
84866945,Sanitary engineering,
84866185,Scallop aquaculture,
84866572,Search-based software engineering,
84867355,Second-order cybernetics,
84864907,Secretomics,
84867265,Security engineering,
84864200,Seismo-electromagnetics,
84865613,Sensitometry,
84866575,Service-oriented software engineering,
85170289,Sexual medicine,
84865622,Silicon photonics,
85170303,Single cell epigenomics,
84867016,Situated robotics,
84868125,Sleep medicine,
84865338,Smoothed-particle hydrodynamics,
